2025-02-26 11:16:36.053 [main] INFO  t.e.spring.kaddem.KaddemApplication - Starting Kaddem application...
2025-02-26 11:16:36.406 [main] INFO  t.e.spring.kaddem.KaddemApplication - Starting KaddemApplication using Java 23.0.2 on Samir with PID 31532 (C:\Users\ssamir\4TWIN5_G4_GESTIONKADDEM\target\classes started by ssamir in C:\Users\ssamir\4TWIN5_G4_GESTIONKADDEM)
2025-02-26 11:16:36.407 [main] INFO  t.e.spring.kaddem.KaddemApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-26 11:16:37.096 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-26 11:16:37.114 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 JPA repository interfaces.
2025-02-26 11:16:37.805 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2025-02-26 11:16:37.823 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2025-02-26 11:16:37.824 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-26 11:16:37.824 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2025-02-26 11:16:37.957 [main] INFO  o.a.c.c.C.[.[localhost].[/kaddem] - Initializing Spring embedded WebApplicationContext
2025-02-26 11:16:37.958 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1474 ms
2025-02-26 11:16:38.125 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-26 11:16:38.171 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
2025-02-26 11:16:38.313 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-02-26 11:16:38.393 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-26 11:16:38.560 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-26 11:16:38.575 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2025-02-26 11:16:38.792 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-02-26 11:16:38.801 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-26 11:16:39.012 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-02-26 11:16:39.910 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2025-02-26 11:16:39.942 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path '/kaddem'
2025-02-26 11:16:39.954 [main] INFO  t.e.spring.kaddem.KaddemApplication - Started KaddemApplication in 3.822 seconds (JVM running for 4.317)
2025-02-26 11:16:39.958 [main] INFO  t.e.spring.kaddem.KaddemApplication - Kaddem application started successfully
2025-02-26 11:19:52.012 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-26 11:19:52.015 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-26 11:19:52.015 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
